date,fund,direction,company,ticker,cusip,shares,weight(%)
12/31/2020,ARKF,Buy,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,8317.0,0.08
12/31/2020,ARKF,Buy,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,2519.0,0.01
12/31/2020,ARKF,Sell,SCHWAB (CHARLES) CORP,SCHW,808513105,476868.0,1.25
12/31/2020,ARKF,Sell,U.S. DOLLAR,,CCTUSD,16165747.96,0.81
12/31/2020,ARKF,Sell,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,14357537.06,0.72
12/31/2020,ARKF,Sell,JAPANESE YEN,,CCTJPY,30015000.0,0.01
12/31/2020,ARKF,Sell,JAPANESE YEN,,CCTJPY,15007500.0,0.01
